Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
930	-65.12999	-69.38584	4.255846	0.352402	0.0226813	0.268166	0.078662	0.0753878	0.0997736	0.151398	0.306742	0.54186
940	-62.43746	-71.10827	8.670815	0.0809229	0.017984	0.288365	0.0525029	0.0545329	0.072634	0.146928	0.370773	0.482299
950	-63.74376	-71.22143	7.477673	0.308828	0.0140624	0.0772808	0.0990704	0.124182	0.0327353	0.366148	0.338786	0.295066
960	-62.06475	-70.43406	8.369306	0.230404	0.0691131	0.0368292	0.0715801	0.133285	0.0482756	0.101297	0.0677898	0.830913
970	-62.24013	-70.70612	8.465994	0.0581845	0.0505392	0.260933	0.0103024	0.0444485	0.15785	0.221238	0.293921	0.484842
980	-69.05007	-75.40994	6.359876	0.067617	0.0938921	0.0255815	0.146363	0.171076	0.235213	0.0449888	0.155247	0.799765
990	-67.16737	-71.81722	4.649847	0.147082	0.222075	0.12303	0.241509	0.0684831	0.0654309	0.000752047	0.32204	0.677208
1000	-66.4269	-71.12913	4.70223	0.283455	0.0418671	0.278353	0.133022	0.0751188	0.0518781	0.215623	0.47462	0.309758
1010	-62.61875	-70.28457	7.665825	0.227387	0.010584	0.0118889	0.230516	0.10392	0.0577945	0.602268	0.00161598	0.396116
1020	-62.29671	-72.43434	10.13763	0.155086	0.0600204	0.00813524	0.0587929	0.080194	0.0950322	0.0544817	0.694982	0.250536
1030	-60.65383	-71.9037	11.24987	0.126464	0.00848485	0.0611629	0.0169724	0.0842519	0.0767556	0.079101	0.369603	0.551296
1040	-65.45927	-70.4025	4.943232	0.0723064	0.0370979	0.304764	0.157794	0.106804	0.166907	0.133871	0.396562	0.469567
1050	-63.64079	-69.38871	5.747922	0.163862	0.0166604	0.37186	0.00793691	0.0410086	0.184174	0.0330502	0.0689497	0.898
1060	-63.0751	-70.0613	6.986195	0.0520239	0.00751472	0.280148	0.136114	0.0547965	0.162313	0.137821	0.181884	0.680294
1070	-64.21307	-71.99398	7.780915	0.261429	0.059104	0.0624256	0.0466132	0.0941728	0.109739	0.0449237	0.825576	0.129501
1080	-66.86258	-71.72747	4.864892	0.234891	0.169569	0.0230969	0.175739	0.0891665	0.159068	0.561008	0.0165607	0.422431
1090	-62.50065	-70.56429	8.06364	0.249088	0.0284235	0.0178955	0.102938	0.164723	0.0492766	0.482665	0.0927775	0.424558
1100	-63.6207	-72.04106	8.420353	0.034163	0.126563	0.164637	0.0784789	0.0938757	0.0879525	0.222	0.337569	0.440431
1110	-64.78889	-71.06671	6.277813	0.0795842	0.19085	0.20683	0.00133132	0.149974	0.11731	0.635298	0.264713	0.0999889
1120	-62.46219	-70.7932	8.331012	0.163506	0.0376327	0.113627	0.0667784	0.101307	0.109499	0.129674	0.490998	0.379328
1130	-63.03072	-70.68347	7.652755	0.266084	0.106146	0.0582696	0.0432361	0.103703	0.0656275	0.26687	0.0137661	0.719364
1140	-65.48889	-72.19776	6.708868	0.132245	0.21496	0.116579	0.077116	0.114847	0.0578994	0.449813	0.328097	0.22209
1150	-64.91455	-75.94897	11.03442	0.0644544	0.0201146	0.0485061	0.146355	0.061497	0.0492748	0.526632	0.00178088	0.471588
1160	-67.75071	-70.76189	3.011186	0.255534	0.0588426	0.00246046	0.264853	0.268681	0.139771	0.229316	0.226713	0.543971
1170	-63.41398	-71.03088	7.616899	0.236991	0.0769573	0.101794	0.050333	0.14013	0.0395432	0.0304137	0.210602	0.758984
1180	-64.60394	-71.83045	7.226506	0.0986598	0.0961763	0.157806	0.124085	0.0510085	0.147205	0.446649	0.43079	0.122561
1190	-65.56186	-69.44694	3.885081	0.403924	0.0423513	0.0675932	0.199031	0.164093	0.0478038	0.199672	0.306396	0.493931
1200	-65.0225	-71.87807	6.855574	0.10593	0.198577	0.167482	0.0912591	0.0614838	0.077945	0.0592731	0.526836	0.413891
1210	-63.92306	-70.51608	6.593013	0.0727562	0.0591323	0.277405	0.0625881	0.102644	0.147784	0.525461	0.143044	0.331495
1220	-65.449	-69.93923	4.490226	0.283612	0.0242542	0.261837	0.131926	0.114461	0.0634557	0.574388	0.022864	0.402748
1230	-64.8001	-71.51638	6.716282	0.457425	0.0213371	0.0173217	0.0350042	0.0947412	0.0872635	0.13522	0.415401	0.449379
1240	-64.48022	-70.52664	6.046427	0.178065	0.0776738	0.337716	0.0048486	0.0729931	0.0918841	0.39532	0.460863	0.143816
1250	-65.90812	-69.70947	3.801346	0.173808	0.0878947	0.148982	0.253262	0.139679	0.127432	0.165569	0.639321	0.19511
1260	-65.12408	-69.89028	4.766206	0.123927	0.0963965	0.182741	0.206503	0.122349	0.126992	0.0973343	0.533278	0.369388
1270	-67.13071	-73.25626	6.125549	0.163666	0.108929	0.278014	0.118297	0.0286258	0.059734	0.426828	0.183945	0.389227
1280	-69.14457	-74.98961	5.845044	0.0986847	0.275347	0.0758168	0.221062	0.0752831	0.0320457	0.171823	0.715132	0.113046
1290	-65.33788	-72.6277	7.289824	0.191488	0.0539188	0.0981918	0.142738	0.155823	0.0280471	0.0421149	0.638871	0.319014
1300	-64.99481	-69.68094	4.686136	0.0975817	0.221107	0.228023	0.109409	0.0794154	0.129361	0.100943	0.153272	0.745785
1310	-63.28423	-73.2084	9.924167	0.0504607	0.0213215	0.229374	0.0379817	0.0100958	0.123988	0.282846	0.0365511	0.680602
1320	-63.24757	-71.76095	8.513382	0.0229427	0.0143165	0.207172	0.126405	0.0600891	0.147788	0.0724819	0.593238	0.33428
1330	-68.36541	-71.894	3.528593	0.10067	0.0235286	0.289556	0.203495	0.174812	0.159391	0.32488	0.203231	0.471888
1340	-66.55346	-71.26061	4.707146	0.0421976	0.0583359	0.492804	0.101704	0.0732813	0.0950029	0.33921	0.0109362	0.649854
1350	-63.91752	-71.40898	7.491468	0.0545061	0.0329494	0.182734	0.135153	0.130455	0.119331	0.349183	0.14925	0.501567
1360	-67.19632	-70.0388	2.842483	0.238675	0.143739	0.17279	0.145122	0.168736	0.133695	0.641523	0.0803377	0.278139
1370	-67.74628	-74.03734	6.291058	0.0318154	0.0352571	0.320478	0.0320249	0.100492	0.224821	0.825626	0.106711	0.0676626
1380	-66.92231	-69.62678	2.704476	0.29236	0.0917171	0.113129	0.21199	0.20272	0.10116	0.110152	0.345701	0.544146
1390	-68.57227	-70.39122	1.818947	0.214715	0.264801	0.0856403	0.284663	0.114121	0.115352	0.15222	0.331505	0.516274
1400	-69.14901	-69.92411	0.7751062	0.13013	0.193002	0.27195	0.203178	0.130281	0.228805	0.192674	0.550807	0.256518
1410	-62.47501	-71.25273	8.777716	0.0809695	0.0055855	0.23003	0.0146341	0.0573852	0.170343	0.450809	0.164664	0.384527
1420	-67.47916	-70.86892	3.389767	0.0976673	0.28089	0.141091	0.106035	0.182252	0.153898	0.0939542	0.10889	0.797156
1430	-61.21686	-73.32165	12.10479	0.122594	0.0350557	0.00663706	0.00891678	0.0698541	0.0671071	0.635376	0.00727275	0.357351
1440	-63.02917	-70.86577	7.8366	0.125985	0.0336932	0.167838	0.124425	0.0569953	0.120383	0.468963	0.228872	0.302165
1450	-62.49901	-71.40953	8.910512	0.241311	0.0149592	0.0383643	0.0789156	0.12665	0.0488178	0.0628863	0.838417	0.0986969
1460	-63.66244	-72.5649	8.902452	0.0533991	0.0787716	0.142277	0.0949131	0.115771	0.0644898	0.39327	0.0481691	0.558561
1470	-64.30336	-72.66281	8.359451	0.0796017	0.0962919	0.0993813	0.0530333	0.0845713	0.177345	0.328713	0.00155719	0.66973
1480	-61.63399	-71.03602	9.402031	0.0903447	0.0668598	0.153344	0.015132	0.0930334	0.0935509	0.247242	0.228794	0.523964
