Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er_full[1]	er_full[2]	er_full[3]	er_full[4]	er_full[5]	er_full[6]	er_full[7]	er_full[8]	er_full[9]	er_full[10]	er_full[11]	er_full[12]	er_full[13]	er_full[14]	er_full[15]	er_full[16]	er_full[17]	er_full[18]	er_full[19]	er_full[20]	er_full[21]	er_full[22]	er_full[23]	er_full[24]	er_full[25]	er_full[26]	er_full[27]	er_full[28]	pi[1]	pi[2]	pi[3]	pi[4]	pi[5]	pi[6]	pi[7]	pi[8]	rf[1]	rf[2]	rf[3]	rf[4]	rf[5]	rf[6]	rf[7]	rf[8]
350	-51.4698	-75.09937	23.62957	0.231106	0.128317	0.0302219	0.205552	0.13385	0.238593	0.0323601	0.231106	0	0	0	0	0	0	0.128317	0	0	0	0	0	0.0302219	0	0	0	0	0.205552	0	0	0	0.13385	0	0	0.238593	0	0.0323601	0.214864	0.0183427	0.131494	0.0412003	0.0151263	0.0760246	0.0181912	0.484757	0.022949	0.402409	0.156025	0.102103	0.216026	0.0534642	0.0425536	0.00447148
360	-50.13176	-73.76133	23.62957	0.172557	0.265007	0.13027	0.0803998	0.201539	0.136592	0.0136351	0.172557	0	0	0	0	0	0	0.265007	0	0	0	0	0	0.13027	0	0	0	0	0.0803998	0	0	0	0.201539	0	0	0.136592	0	0.0136351	0.247801	0.0216967	0.0766769	0.0323982	0.0318881	0.00443506	0.0133721	0.571732	0.0220932	0.398616	0.185139	0.0933114	0.173392	0.0782156	0.0388897	0.0103434
370	-49.8353	-73.46487	23.62957	0.13969	0.288899	0.266697	0.0569467	0.225214	0.0035599	0.0189935	0.13969	0	0	0	0	0	0	0.288899	0	0	0	0	0	0.266697	0	0	0	0	0.0569467	0	0	0	0.225214	0	0	0.0035599	0	0.0189935	0.159144	0.0262805	0.103734	0.100015	0.0397608	0.0972012	0.0468258	0.427038	0.042711	0.115582	0.243736	0.129093	0.0303113	0.238843	0.0589139	0.14081
380	-49.7768	-73.40637	23.62957	0.121378	0.606368	0.127984	0.018466	0.0317514	0.0766814	0.0173713	0.121378	0	0	0	0	0	0	0.606368	0	0	0	0	0	0.127984	0	0	0	0	0.018466	0	0	0	0.0317514	0	0	0.0766814	0	0.0173713	0.122442	0.0202197	0.0798969	0.138344	0.173494	0.0830068	0.054375	0.328222	0.0276417	0.268948	0.105663	0.0543973	0.211324	0.142301	0.186014	0.00371096
390	-53.34903	-76.9786	23.62957	0.241916	0.211394	0.139764	0.0090856	0.00161928	0.358949	0.0372717	0.241916	0	0	0	0	0	0	0.211394	0	0	0	0	0	0.139764	0	0	0	0	0.0090856	0	0	0	0.00161928	0	0	0.358949	0	0.0372717	0.074612	0.0103008	0.023404	0.122448	0.0692086	0.317291	0.00894355	0.373792	0.0081371	0.237461	0.426578	0.05117	0.0759025	0.061742	0.138499	0.00050996
400	-55.21915	-78.84872	23.62957	0.0537535	0.45822	0.136132	0.00576398	0.0477341	0.22772	0.0706765	0.0537535	0	0	0	0	0	0	0.45822	0	0	0	0	0	0.136132	0	0	0	0	0.00576398	0	0	0	0.0477341	0	0	0.22772	0	0.0706765	0.146515	0.0364653	0.0679244	0.290721	0.0823218	0.185217	0.0259564	0.164879	0.016517	0.150701	0.604473	0.0990602	0.00850668	0.0777546	0.0417517	0.0012362
410	-51.37746	-75.00704	23.62957	0.143161	0.330726	0.108373	0.108579	0.0148047	0.229873	0.0644837	0.143161	0	0	0	0	0	0	0.330726	0	0	0	0	0	0.108373	0	0	0	0	0.108579	0	0	0	0.0148047	0	0	0.229873	0	0.0644837	0.164496	0.0439445	0.139944	0.175709	0.0673067	0.324144	0.0163821	0.068074	0.246512	0.256689	0.247917	0.0615252	0.00309128	0.112585	0.0604547	0.011226
420	-53.94798	-77.57755	23.62957	0.221963	0.126112	0.122089	0.13874	0.0878991	0.238588	0.0646081	0.221963	0	0	0	0	0	0	0.126112	0	0	0	0	0	0.122089	0	0	0	0	0.13874	0	0	0	0.0878991	0	0	0.238588	0	0.0646081	0.0739186	0.0468545	0.0441999	0.146621	0.0209754	0.178586	0.0242795	0.464565	0.10034	0.257266	0.113749	0.135859	0.00652438	0.105702	0.247665	0.0328944
430	-49.04203	-72.6716	23.62957	0.105514	0.272732	0.084062	0.284683	0.0598866	0.122707	0.0704154	0.105514	0	0	0	0	0	0	0.272732	0	0	0	0	0	0.084062	0	0	0	0	0.284683	0	0	0	0.0598866	0	0	0.122707	0	0.0704154	0.157293	0.0260104	0.085637	0.133631	0.0547139	0.0971785	0.0221284	0.423407	0.100409	0.350913	0.138961	0.138592	0.0078229	0.125798	0.0919056	0.045599
440	-50.98849	-74.61806	23.62957	0.0883963	0.557509	0.0729791	0.0271325	0.0825305	0.0672836	0.104169	0.0883963	0	0	0	0	0	0	0.557509	0	0	0	0	0	0.0729791	0	0	0	0	0.0271325	0	0	0	0.0825305	0	0	0.0672836	0	0.104169	0.135641	0.0359944	0.070422	0.109889	0.0142848	0.256025	0.00304987	0.374694	0.0303837	0.0330674	0.186593	0.0983217	0.00323089	0.218325	0.0329333	0.397146
