Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]
1630	-42.25131	-42.55094	0.2996331	0.238806	0.128307
1640	-40.24952	-41.90059	1.651076	0.0994401	0.165824
1650	-41.78946	-41.80574	0.01628621	0.211321	0.177146
1660	-40.6905	-41.8298	1.139305	0.0874001	0.216433
1670	-39.9317	-42.574	2.642298	0.0408362	0.149725
1680	-41.41426	-42.8311	1.416838	0.158214	0.124702
1690	-39.99613	-42.589	2.592868	0.0361898	0.158097
1700	-42.32626	-42.22912	-0.09713755	0.246493	0.150523
1710	-40.87813	-41.55286	0.6747329	0.133836	0.205009
1720	-43.59472	-45.88856	2.293841	0.187487	0.029336
1730	-43.01237	-46.64555	3.633184	0.048174	0.0677109
1740	-40.2349	-42.61175	2.376849	0.0785032	0.132064
1750	-42.17203	-41.99633	-0.1756946	0.236965	0.165971
1760	-39.99215	-42.24989	2.257739	0.0699119	0.149632
1770	-41.05839	-43.04427	1.98588	0.0291597	0.210872
1780	-42.6847	-43.0544	0.3696984	0.259473	0.102361
1790	-42.34099	-41.83194	-0.5090541	0.147912	0.280147
1800	-40.97719	-42.71089	1.733699	0.129465	0.129572
1810	-40.03637	-42.95465	2.918284	0.0295927	0.14017
1820	-39.97173	-42.10343	2.131695	0.0661149	0.162928
1830	-43.28762	-41.58749	-1.700125	0.267548	0.250275
1840	-40.93798	-43.39579	2.457807	0.0934884	0.110977
1850	-40.57818	-42.93714	2.358965	0.025477	0.186438
1860	-44.4735	-41.82342	-2.650087	0.261167	0.328249
1870	-39.95247	-42.47905	2.526576	0.0415166	0.157766
1880	-41.88165	-44.27743	2.395782	0.114895	0.0942451
1890	-40.3203	-42.08643	1.766129	0.103132	0.153461
1900	-41.66615	-42.02716	0.3610082	0.202948	0.15954
1910	-41.1479	-44.39788	3.249975	0.0513216	0.0934433
1920	-40.89168	-41.77659	0.8849042	0.148702	0.174303
1930	-42.51548	-41.94909	-0.5663866	0.255786	0.176594
1940	-41.47306	-43.24881	1.775749	0.142019	0.113849
1950	-42.00201	-41.46974	-0.5322692	0.204328	0.225481
1960	-41.78041	-43.30046	1.520057	0.034927	0.240211
1970	-39.99748	-42.05139	2.053912	0.0677164	0.167188
1980	-42.56147	-41.64157	-0.9198993	0.180286	0.278736
1990	-40.14079	-43.20118	3.060388	0.0245158	0.134537
2000	-41.35275	-44.24884	2.896096	0.0763543	0.0950803
2010	-40.13393	-42.7693	2.63537	0.0625134	0.12857
