Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]
270	0	-42.13177	-43.9729	1.841131	0.161612	0.0893281
271	1	-40.99434	-42.18832	1.193975	0.14979	0.149923
272	0	-40.92341	-42.72441	1.801006	0.124915	0.12905
273	1	-41.12649	-42.4852	1.35871	0.149852	0.137446
274	0	-43.00847	-45.50977	2.501303	0.134348	0.0668395
275	1	-40.07419	-43.00233	2.928141	0.0268383	0.142181
276	0	-40.30135	-42.32436	2.023006	0.0466487	0.190585
277	1	-40.33923	-42.2177	1.878461	0.0528683	0.195259
278	0	-41.50908	-41.64114	0.1320619	0.189503	0.190239
279	1	-41.44119	-42.08212	0.640928	0.091138	0.250254
280	0	-40.14858	-41.93783	1.789243	0.0710238	0.183827
281	1	-40.67691	-43.52922	2.852317	0.0665498	0.108184
282	0	-41.71801	-41.55149	-0.1665237	0.198418	0.203827
283	1	-41.29319	-42.37268	1.079486	0.0672616	0.241079
284	0	-41.67736	-41.57028	-0.1070818	0.14981	0.247955
285	1	-40.73404	-42.30171	1.56767	0.0560721	0.215477
286	0	-40.6971	-41.72891	1.031809	0.13402	0.177914
287	1	-40.5167	-42.91736	2.400669	0.0863417	0.12243
288	0	-40.08529	-42.0566	1.971305	0.0833242	0.157806
289	1	-40.44303	-42.91384	2.47081	0.024953	0.178533
290	0	-41.78942	-45.6355	3.84608	0.0090063	0.090834
291	1	-41.31765	-43.22065	1.902993	0.130987	0.115291
292	0	-43.24404	-45.9938	2.749757	0.00124337	0.18122
293	1	-40.46373	-41.79602	1.332289	0.116832	0.172457
294	0	-41.00516	-41.6409	0.6357387	0.15448	0.187303
295	1	-40.43961	-41.68437	1.244755	0.10332	0.192566
296	0	-45.69528	-42.54736	-3.14792	0.377726	0.249207
297	1	-43.07399	-42.38438	-0.6896133	0.131436	0.310231
298	0	-39.98866	-42.08988	2.101218	0.0629235	0.168416
299	1	-40.2663	-41.78043	1.514131	0.0893017	0.186283
300	0	-39.91832	-42.40203	2.483706	0.0476325	0.154881
301	1	-40.33496	-42.4657	2.130738	0.0923319	0.136783
302	0	-41.14882	-43.39796	2.249138	0.108911	0.11128
303	1	-40.50322	-42.48002	1.976799	0.10434	0.136376
304	0	-40.69923	-42.1365	1.437272	0.129842	0.151534
305	1	-40.85518	-41.9274	1.072216	0.145264	0.163625
306	0	-41.96963	-41.51318	-0.4564477	0.209748	0.214346
307	1	-40.20555	-41.88278	1.677236	0.0949376	0.168355
